,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10,Gene_11,Gene_12,Gene_13,Gene_14,Gene_15,Gene_16,Gene_17,Gene_18,Gene_19,Gene_20,Gene_21,Gene_22,Gene_23,Gene_24,Gene_25,Gene_26,Gene_27,Gene_28,Gene_29,Gene_30,Gene_31,Gene_32,Gene_33,Gene_34,Gene_35,Gene_36,Gene_37,Gene_38,Gene_39,Gene_40,Gene_41,Gene_42,Gene_43,Gene_44,Gene_45,Gene_46,Gene_47,Gene_48,Gene_49,Gene_50
Cell_1,3.8884,3.474,3.4054,3.3022,2.6872,0,0.8701,1.1675,1.0276,1.3188,1.0323,1.2031,0.6413,1.0233,1.5623,0.6471,1.3191,1.2815,0,0.8807,0,0.2698,1.5879,1.7453,0.7903,0.4332,1.1411,0.7771,0.8122,0.2556,1.8999,1.8581,0.8375,1.2735,0.2278,0.3653,0.3309,0.3324,0.3988,0.7931,1.9665,0.9062,0.7773,1.1551,0.3568,0.4196,0.9592,0.4341,0.9346,1.1808
Cell_2,4.6243,3.4461,3.9748,4.9434,4.2226,1.2235,0.3362,1.248,1.366,1.0402,1.1647,0.4554,1.0346,0.8613,0.6389,0.7956,0.6803,0.7975,1.164,0.8767,0.3165,1.0534,1.2147,0.4741,0.7557,1.6047,0.938,0.9475,1.1341,1.6068,0.1731,1.7148,0,1.8495,1.6894,1.1006,1.1193,0.7713,0.8985,0.726,1.6328,0.9581,0.7137,0.607,0.7515,1.74,1.1794,1.4799,0.8168,0
Cell_3,3.9381,3.6144,2.816,4.4303,5.3319,0.8066,0.7271,0.9665,1.7134,1.2137,1.17,0.7917,1.1806,1.1925,0.8315,1.3904,2.1507,1.5743,0.9885,1.1361,1.1382,0.8679,0.3106,0.9898,0.8214,0.8846,1.5252,1.1808,1.3511,1.221,0.7618,0.4034,0.3854,0.7587,1.6975,0.8415,0.9953,1.0951,0.261,1.2245,1.4204,0.2304,1.3429,1.207,0.4748,0.5795,1.4174,1.0577,0.4821,0.5996
Cell_4,4.5646,4.6294,3.7914,3.2606,2.9513,0.8773,1.6674,1.4292,0.9326,0.874,0.6606,1.3113,1.2493,0,1.2336,0.5841,0.5971,0.9972,1.0681,1.2789,0.9259,0.7313,1.5257,0.7751,1.9024,1.548,1.8549,1.495,0.8099,1.6788,1.1336,0.4501,1.3857,0.2442,1.287,1.0982,0.9162,1.2752,1.2438,2.2805,0.5826,1.0493,0.575,0.5883,1.7581,1.2032,0.8723,2.0639,0.3621,0.3013
Cell_5,3.7268,3.8133,3.5958,4.8428,3.763,0.7989,0.6324,0.4238,1.7587,0.8323,1.0283,1.6856,1.4382,0.5473,1.3198,1.4797,1.0347,0.4249,1.1806,1.487,1.0529,1.7962,1.3221,0.9117,0.8201,1.0055,0.1031,1.565,0.5032,0.411,0.5021,0.434,1.9515,0.8817,1.3486,0.8561,1.3116,0.6745,0.9129,0.948,1.4263,1.5974,1.0572,0.9064,1.2486,0.6485,1.1762,1.4299,1.1257,0.4513
Cell_6,3.5844,3.7172,4.5476,3.6885,4.1126,0.8362,1.1764,0.2184,1.8513,0.8111,0.7525,0.5592,1.0521,1.5804,0.6784,1.0417,1.0513,0.8158,0.7665,0.9742,1.1799,1.5077,1.2768,0.579,0.5937,0.6359,0,1.3289,1.3606,1.4931,1.6154,0.7479,1.8748,0.5415,1.1859,0.4861,1.3712,1.0966,1.1125,1.2046,0.3206,1.1759,1.1401,0,2.0504,1.7909,0.4481,1.1056,1.2167,1.546
Cell_7,4.3863,3.1335,4.2411,4.2091,3.6948,1.3604,0.8688,0.1494,1.3962,0.639,0.3282,0.9323,1.5655,0.9416,1.0951,1.5733,0.6998,0.3691,0.4033,1.0892,1.0249,1.2267,0.8182,0,0,0.4758,0.5408,1.4257,0.2291,0,0.688,0.4437,0,0.9453,1.276,0.6625,0.3039,2.1724,1.1669,1.1814,1.0795,1.3619,0.5898,0.9557,1.2202,0.713,0.5595,0.7342,0.0971,0.9217
Cell_8,5.0043,4.1879,3.2251,4.6945,4.9943,2.0472,0.8533,0.927,1.0663,1.5725,0,1.3163,0.8341,0.7628,0.759,0.473,0.7289,2.1214,1.2151,0.5658,1.5835,0.9177,0.8547,1.3917,1.0194,1.3573,0.7958,1.2826,1.5255,1.3599,1.2431,1.4122,1.2408,1.1466,0.6259,1.3526,1.0671,0.6256,1.4136,1.7147,2.3341,1.1029,0.9855,0.3331,1.7671,1.087,0.3205,0.9481,0.4222,2.0688
Cell_9,4.0195,3.876,4.7854,3.6885,4.7712,1.3065,0.5298,1.2632,0.8252,1.5189,0.6522,2.1638,1.2715,1.0404,1.3655,0.7726,0,0.4818,0.6652,0.3987,0,0,1.7957,1.5511,1.1535,1.1701,1.6419,0.1041,0.9653,0.5253,0.3839,1.0106,1.2514,1.2899,1.3086,0.3416,2.198,0.0609,1.1385,1.3348,0,1.3016,1.2023,1.5838,2.0176,0.7877,2.1779,1.7384,1.0073,0.6697
Cell_10,3.4778,3.8,4.1194,4.1589,3.3441,1.3521,1.8044,0.6319,0.8416,0.7661,0.1855,0.9228,1.633,0.7252,0.842,2.0575,0.5114,1.5447,0.1318,0.5453,0.1805,0.1107,0.4365,0.4023,1.9035,1.2211,1.2558,1.4468,0.2261,0,0.3456,0.9879,0.4085,1.1713,0.644,0.92,1.1629,0.6218,1.2028,1.075,1.7131,0.6484,1.1317,0.7338,0.4701,0.4009,0.751,0.0405,0.5091,0.5838
Cell_11,3.9538,3.4324,4.8998,3.6501,3.068,0.9271,1.1397,1.5665,0.6397,1.1319,0.7194,1.4486,0.96,1.0114,0.8803,0.9172,0.4244,0.5357,0.5074,0.6949,0.6694,2.078,1.6432,1.9664,0.6252,1.1679,0.4035,0.7891,0.7652,1.2432,0.829,1.2263,1.0034,1.5,1.5203,0.2928,0.4161,1.6368,1.1605,0.608,1.1147,1.1361,1.9447,1.101,0.2778,1.5317,0.6372,0.6113,0.7021,0.7856
Cell_12,3.4141,3.16,3.3359,3.9477,3.9556,1.38,0.2753,0.2346,1.997,1.3114,0.4162,0.6245,0.7054,2.0955,0.9034,0.2187,0.0897,1.0385,1.4143,1.1637,0.7911,1.3018,0.611,1.0573,1.0026,1.7783,0.633,0.7049,1.0088,1.3158,0.6954,0.7224,1.6075,1.2373,0.2966,0.2269,0.7862,0.9144,1.2756,1.3633,1.0306,1.2056,1.1866,1.0005,1.1953,0.835,0.4717,0.3043,0.5792,1.2107
Cell_13,3.5574,3.8248,3.7105,4.239,4.4831,0.3499,0.4689,0.6995,1.9974,0.6623,1.6392,1.6395,1.0432,1.2919,1.2512,0.9719,0.9989,1.5787,0.2458,0.7595,0.5233,1.4192,1.409,0.6329,0.4873,1.3169,1.4428,0.1463,1.3168,1.5585,1.1464,1.2522,1.0371,1.5622,0.5684,0.7205,0.1741,1.2763,1.8927,0.6811,1.6734,1.4854,1.6915,0.56,1.0904,1.2483,0.8542,0.4273,0.8924,1.9662
Cell_14,3.6513,3.6014,4.7878,3.6991,3.4684,2.179,0.6563,0.5182,0.8024,0,0.9155,0.2366,1.3185,0.5684,1.2416,1.401,0.9468,1.2698,0,0.5125,0.96,1.2834,0.8753,1.9099,1.1171,1.2017,1.1974,1.6127,1.3541,0.9549,0.725,1.4643,0.5998,0.4622,0.9773,0.0466,1.0545,1.5591,1.0093,0.5454,1.8841,0.7379,0.9876,0.7126,0.8771,1.7129,0.2977,1.0976,1.3277,1.1392
Cell_15,4.1503,3.9642,3.7578,3.3357,2.8019,0.514,1.2119,1.1585,1.2669,1.3169,1.0419,1.5538,0.9907,1.9591,0.769,0.7066,1.0977,1.7241,1.2809,0.5118,1.0112,0.6745,0.8985,0.8374,1.7197,1.167,1.2901,0.0714,0.3461,1.0353,0.9278,1.5648,1.2004,1.4114,0.8594,1.0122,0.2837,0.9718,1.0671,0.3573,1.0004,1.2064,1.9891,1.303,1.4504,0.5198,0.5928,1.3158,2.2711,0.7877
Cell_16,4.1926,4.5146,3.8756,4.4292,3.7813,0.3353,1.5066,1.5193,1.6722,0.6139,1.0923,1.0145,0.3122,1.5134,0.5518,0.6115,1.6911,1.3301,0.9359,1.3643,1.0928,0.9525,1.2765,2.2005,1.4963,0.7941,1.1667,0.2212,0.8939,1.2087,1.3991,0.5061,1.9112,0.7493,0.2351,1.1195,0.1404,2.6605,1.6107,1.3559,0.8702,0,1.0317,1.1849,0.9006,0.8629,0.6579,1.5479,1.0422,0.9161
Cell_17,3.7852,4.1671,4.993,3.5656,4.3603,1.0234,1.4921,0.971,1.842,1.7098,0.7194,1.3581,0.9394,1.7587,1.6418,0,1.387,0.7526,0.3322,0,0.8425,1.2259,1.6463,0.673,1.1406,0.3326,0.6222,1.1932,0.6144,1.592,1.0876,1.1332,1.295,0.7032,0.9494,0.8397,1.8069,1.2829,0.3792,0.8199,0.633,1.8858,0.7559,1.6215,0.3868,0.6829,0,1.691,0.3349,0.2028
Cell_18,4.6683,3.8496,3.7328,4.4027,4.8224,0.9497,1.4758,0.8533,1.3556,1.1737,1.0874,1.2288,1.6538,1.6447,1.2435,1.6973,1.1933,0.4502,0.8773,1.4375,0.752,0.5015,1.3961,1.0271,1.1572,1.4318,0.2287,0.381,0.3102,1.4843,1.4967,0.8273,1.98,1.0579,1.3366,1.2312,0.8961,0.2037,1.347,1.1761,0.8929,0.9623,0.5964,1.2196,0.9823,1.2491,0.6874,0.6407,1.3837,1.206
Cell_19,3.5938,5.1488,3.377,5.0101,4.0252,1.75,0.8575,0.4007,0.144,1.0833,0.7954,0.3173,1.2646,1.3631,0.8706,1.5037,1.2815,1.7536,0.5827,0.5938,0.1879,1.1987,1.5439,0.697,0.7946,0.6389,1.6049,2.1698,1.3042,0.8017,0.928,1.0946,1.0785,0.7316,0.8081,0.7737,0.9979,0.4961,0.6633,1.1948,1.0691,1.1217,0.8956,1.3287,1.2103,1.7558,0.9449,1.0264,0.6062,1.6256
Cell_20,4.7276,5.5375,4.6192,3.1455,4.5293,1.3061,0.3941,0.7864,0.8376,0.6476,1.2129,1.4767,1.0566,1.0857,1.0509,0.1708,0.6076,0.9013,1.4001,1.6994,1.3758,0.5956,1.0036,0.761,0.247,1.2564,0.9072,0.8909,0.7335,1.2436,1.5957,1.2699,1.1422,1.0911,1.271,0.6676,0.3694,1.4509,0.9907,1.5336,0.9729,1.4576,0.6266,0.3351,1.3491,0.7087,0.5918,0.9432,1.326,1.2408
Cell_21,4.8507,3.7248,3.9605,3.346,4.4274,1.2654,0,1.3235,1.0975,0.9785,1.5015,1.9055,1.2504,0.9452,1.0559,1.7422,1.217,0.3371,1.3521,1.4326,0.2517,0.981,1.408,0.8017,1.2554,1.397,1.0928,0.4426,0.8557,0.3274,1.7044,1.2299,1.0791,1.1545,1.6389,0.6784,0.8169,0.6777,1.5291,0.7642,0.8261,0.4289,0.5278,0.6685,0.7235,1.0738,1.2592,1.171,1.2358,1.0341
Cell_22,4.3159,3.1649,2.6535,4.2282,3.297,0.8353,1.1558,1.4247,1.6705,0.1689,0.607,0.6631,1.3083,1.0655,1.3527,0.9649,0.831,1.6378,0.7952,1.3161,1.1899,0.8513,1.1227,1.318,1.5943,0.7474,0.6577,1.4399,0,1.5371,1.0968,0.3976,1.0895,0.9361,0.23,1.3739,0.5618,1.0879,0.9456,1.1338,1.421,0.7945,0.8848,1.2698,1.3788,1.1453,0.8776,0.6583,0.943,0.8542
Cell_23,4.975,3.5757,4.7381,4.214,4.3837,0.9972,0.8921,1.0176,1.5129,1.7209,1.2566,0.6423,1.1813,0.9215,1.4047,1.6631,0.9576,1.5432,0.3963,1.2409,1.2592,0.7491,0.6412,1.0822,0.9631,0.6182,1.4219,0.5864,0.3898,0.1275,0.5992,1.2332,0.5736,2.1119,0.7411,0.4644,1.1521,1.142,1.8371,0.4953,1.4671,1.1982,0.5238,1.0146,1.5629,1.3092,0.25,1.5246,0.6422,0.9404
Cell_24,4.1581,3.4543,4.4709,4.5339,4.0245,0.4397,1.2368,1.5201,0.8371,1.0173,1.4339,1.2172,0.6936,2.0401,0.6829,1.0736,0.373,0.5615,0.3379,0.6473,1.0184,0.8429,2.0301,1.2433,1.6628,0.662,0.6375,0.4025,0.227,0.6774,1.0881,1.3787,0.9561,1.667,0.4884,2.0226,0.5056,0.9444,1.313,0.3767,0.534,1.1744,1.103,1.2836,1.1682,1.187,0.408,1.7167,0.8354,0.7083
Cell_25,3.9204,3.2008,4.141,3.8964,3.8662,0.893,0.7517,0.7555,1.2452,1.2726,1.1759,0.9538,1.2178,2.1291,1.5715,0.5694,1.4271,0.4748,0.9752,0.7627,1.1201,0.8997,0.3823,0.3202,1.2619,0.7527,0.0559,1.2735,0.9126,0.9887,0.6193,0.131,0.1979,1.3367,0.8584,0.4101,2.2297,0.7849,1.2738,0.9749,1.2539,0.6945,1.236,0.5903,0.7805,1.4864,0.4039,0.4981,1.5024,0.2977
Cell_26,3.9363,4.068,2.8388,3.536,2.995,0.9377,1.8942,0.534,0.7316,0.9052,0,1.0405,1.4549,1.1396,1.1306,0.9584,0.7791,0.4703,0.3552,1.3108,0.7251,1.3887,0,1.4785,0.6511,0,0.1965,1.2454,0.7887,0.6088,0,1.2769,0.7476,0.9722,0.8787,1.7188,1.0667,0.9428,0.7847,0.7683,0.6966,2.033,0.8246,0.5079,0.44,1.5075,0.5646,0.661,0.6795,0.6531
Cell_27,3.5063,4.1887,3.5894,3.6478,4.156,1.1342,1.669,0.8197,1.2068,2.0922,1.6882,0.5104,0.6625,1.0713,0.5621,0.5059,0.9259,0,1.0661,1.918,1.8456,1.9612,0.7871,0.4159,0.9529,1.9766,1.3809,0.8782,0.9773,1.1708,0.8299,0.3162,1.9507,1.7391,1.3191,1.0994,0.8193,0.8788,1.017,0.8641,0.4679,1.9991,0.2251,0.9761,0.6559,0.8499,1.7514,1.6961,1.1919,2.0312
Cell_28,3.7152,4.2423,4.1465,5.1628,4.0391,1.0442,1.5344,0.5616,1.5927,1.1583,1.5937,0.9604,0.2313,1.3679,0.4126,0.5394,1.1974,0.9652,0.7678,1.3636,0.7622,0.9699,1.0442,0.5351,0.291,0.731,1.4284,1.3404,0.1046,1.6954,1.0721,0.5255,1.949,1.334,0.0689,1.0276,0.8944,0.8925,0.5114,0.7524,1.4629,0.5829,0.6795,0.3369,0.9909,2.0131,1.2596,0.2017,1.2122,0.784
Cell_29,3.6112,4.63,4.4217,3.3687,3.4513,0.9376,1.4142,0.3919,0.8864,1.9105,0.7907,0.9466,1.5603,1.9816,0.7574,0,1.317,1.4585,1.346,1.0125,0.4444,1.5319,0.3109,0.8752,1.6016,0.9222,1.6248,1.1878,0.6551,0.5621,0.6361,0.5611,1.1872,0.575,0.7289,1.8607,0.8403,1.6143,1.1903,1.6073,0.827,1.8548,0.4036,0.5754,0.923,0.5045,0.2784,1.0771,1.0769,0.9059
Cell_30,4.7484,3.52,4.6819,4.3906,3.7681,0.028,0.7236,1.3345,1.1595,1.4127,1.1478,1.3212,1.2182,1.1204,1.2212,1.0024,0.6625,1.3815,1.0819,1.5672,0.7445,0.6619,1.4645,0.8218,0.4659,1.6836,1.0544,0.2992,1.3722,1.586,1.3436,1.2629,0.4982,1.5954,1.8068,1.4445,0.9725,0.2701,1.1085,1.1106,1.0231,1.1276,1.2251,0.7289,1.8049,0.4445,0.7447,1.3535,0.9198,1.3928
Cell_31,5.1326,3.9526,3.241,3.9435,4.0706,0.4398,0.7821,1.3625,1.5199,1.2057,1.0771,1.4891,1.2732,0.5485,0.9843,0.4427,2.0416,0.1162,1.2118,1.3091,1.4999,0.5495,1.1853,1.7875,0.6173,1.1637,0.8322,1.2087,1.0044,1.2093,0.6727,0.317,0.3073,1.3345,1.4008,0.647,1.9602,0.6175,1.7587,0.4807,0.6676,0.6891,1.1204,1.3267,1.8038,0.4939,1.3976,0.4942,0.9816,1.1363
Cell_32,4.7441,3.5119,4.2947,3.0563,3.7292,1.1071,1.429,0.6174,0.8181,0.9066,1.4624,1.1572,1.2975,1.4464,1.0385,0.6304,1.2563,0.7661,0,0.0255,1.8256,0.6909,0.4745,1.102,0.3802,1.8736,1.5038,1.5831,1.0876,1.6681,0.4626,1.1536,0.9557,1.7537,0.8418,1.168,0.6045,0.6878,1.5045,1.7684,1.4911,1.3889,1.5174,0.3701,1.2241,1.9847,1.145,1.1131,0.4936,0.0034
Cell_33,2.4067,4.5126,3.581,3.4041,2.9461,0,1.4832,1.2998,1.9463,1.0548,1.6874,0.5707,0.7379,0.0836,1.5591,1.0227,0.7173,1.3767,0.5652,1.0419,0.8951,0.7729,1.1964,1.3145,0.8977,1.7753,1.3904,1.6723,0.6511,1.0521,1.9527,0.8961,1.1485,0.0393,1.217,0.7868,1.3754,1.046,1.8966,0.9144,1.5127,0.5744,0.9637,1.2667,0.4366,1.5836,1.216,1.1464,1.4216,0.7192
Cell_34,3.9457,3.71,4.6547,4.5609,3.8349,0.9681,1.0038,2.0452,1.0571,0.7292,1.0126,1.6493,0.7136,0.4173,0.6792,1.4032,0.6568,1.2933,2.2566,0.546,0.6333,0.6081,0.6861,0.7719,0.7015,0.5026,0,1.4751,0.8922,1.1874,0.9405,0.1439,1.2727,0.8806,0.1416,0.7019,1.0636,1.2902,0.0105,0.2961,1.1765,1.5502,0.4902,1.3093,0.7126,1.6613,0.7809,0.7593,0.6578,1.3576
