cell_id,UMAP_1,UMAP_2
Cell_1,-4.2528,0.2153
Cell_2,-5.2781,0.3265
Cell_3,-3.9674,-1.3942
Cell_4,-4.319,-0.7133
Cell_5,-6.1781,0.5198
Cell_6,-5.1683,0.6574
Cell_7,-5.1225,1.4323
Cell_8,-5.3659,-0.0665
Cell_9,-4.1196,-1.056
Cell_10,-5.3598,-0.3859
Cell_11,-4.3581,-0.337
Cell_12,-4.8059,-0.2995
Cell_13,-5.503,0.2839
Cell_14,-3.8015,-0.5767
Cell_15,-5.1966,-1.1065
Cell_16,-5.074,-0.3457
Cell_17,-4.9239,1.3457
Cell_18,-5.1352,1.3214
Cell_19,-5.1625,-0.5828
Cell_20,-5.3269,0.0276
Cell_21,-5.0688,0.6639
Cell_22,-4.7924,-0.0561
Cell_23,-3.3243,-1.171
Cell_24,-5.4822,-1.3822
Cell_25,-5.0694,0.1243
Cell_26,-5.4374,-0.6815
Cell_27,-5.8228,-1.5367
Cell_28,-4.0363,-0.0346
Cell_29,-4.5921,0.235
Cell_30,-5.7993,0.4568
Cell_31,-5.5712,-0.5557
Cell_32,-6.3889,2.0262
Cell_33,-4.8003,1.1481
Cell_34,-4.6144,-1.7667
Cell_35,-4.8769,0.4043
Cell_36,-5.9284,0.9069
Cell_37,-4.7506,-0.1118
Cell_38,-5.5418,-0.0464
Cell_39,-6.0215,0.2603
Cell_40,-6.0014,0.2551
Cell_41,-6.2503,1.1382
Cell_42,-4.6029,-0.6606
Cell_43,-4.0537,-0.2635
Cell_44,-4.7886,0.1913
Cell_45,-6.5687,-1.0262
Cell_46,-5.2945,0.1165
Cell_47,-5.5742,0.0037
Cell_48,-6.3822,-0.1875
Cell_49,-3.8194,0.6572
Cell_50,-4.1695,0.0156
Cell_51,-4.8203,0.23
Cell_52,-4.7829,1.0089
Cell_53,-3.8903,0.2769
Cell_54,-5.8888,0.2362
Cell_55,-5.171,-0.447
Cell_56,-5.1773,-0.0113
Cell_57,-6.6524,0.5643
Cell_58,-3.5082,0.7053
Cell_59,-5.3691,0.9929
Cell_60,-4.9908,-0.5969
Cell_61,-5.9124,0.8355
Cell_62,-5.3006,-1.0741
Cell_63,-5.2205,0.0142
Cell_64,-6.7699,0.0445
Cell_65,-4.5803,1.1905
Cell_66,-4.7075,0.6183
Cell_67,-5.1388,0.7907
Cell_68,-4.2636,-0.1552
Cell_69,-4.3279,1.1996
Cell_70,-6.5975,-1.0204
Cell_71,-4.8127,-0.067
Cell_72,-4.2069,0.3869
Cell_73,-5.175,0.3556
Cell_74,-5.057,-0.5867
Cell_75,-3.9592,1.3506
Cell_76,-0.3449,4.5821
Cell_77,1.0885,5.9883
Cell_78,0.3462,5.0917
Cell_79,1.0645,5.4209
Cell_80,-0.7796,6.3983
Cell_81,0.4267,5.3809
Cell_82,-0.1834,6.0772
Cell_83,0.3489,4.9454
Cell_84,0.4304,5.2638
Cell_85,0.5635,4.6613
Cell_86,0.076,5.7657
Cell_87,0.786,4.9622
Cell_88,-0.609,4.848
Cell_89,0.2121,5.0851
Cell_90,-0.0215,3.4541
Cell_91,-0.248,4.2016
Cell_92,-0.9795,4.6612
Cell_93,2.5513,4.8301
Cell_94,-0.2956,6.0289
Cell_95,-0.3494,5.7035
Cell_96,-0.2017,3.9719
Cell_97,-0.3054,3.5744
Cell_98,-0.1237,4.7294
Cell_99,-1.184,4.2733
Cell_100,-0.911,4.2814
Cell_101,0.2311,5.796
Cell_102,0.2612,3.2312
Cell_103,-0.3903,5.0036
Cell_104,0.113,6.4203
Cell_105,-1.3257,5.4096
Cell_106,-0.728,4.5212
Cell_107,0.0359,5.7341
Cell_108,0.0761,3.491
Cell_109,1.4398,5.8723
Cell_110,0.7726,5.3181
Cell_111,0.7171,5.7748
Cell_112,-0.2914,4.3508
Cell_113,-0.4656,4.9852
Cell_114,-0.0564,4.1325
Cell_115,-0.5792,4.881
Cell_116,-0.4028,4.4523
Cell_117,0.5729,4.5278
Cell_118,0.6134,3.9664
Cell_119,0.2839,5.8708
Cell_120,-0.2785,5.0435
Cell_121,1.1115,5.0252
Cell_122,0.4312,4.9835
Cell_123,-0.7012,5.2656
Cell_124,1.0139,4.4913
Cell_125,0.5478,5.6861
Cell_126,0.7681,3.9963
Cell_127,-1.341,3.4472
Cell_128,-1.4185,4.3454
Cell_129,-0.4285,5.2974
Cell_130,1.1558,2.8219
Cell_131,-0.0064,5.1448
Cell_132,0.0197,5.0805
Cell_133,1.285,4.211
Cell_134,0.1712,5.0717
Cell_135,-1.1812,5.4586
Cell_136,0.4927,6.6656
Cell_137,-0.5383,4.8137
Cell_138,0.582,4.5202
Cell_139,0.2407,4.6321
Cell_140,1.6355,4.6788
Cell_141,-0.7158,4.4935
Cell_142,0.2005,6.6453
Cell_143,0.3615,4.3882
Cell_144,0.6147,5.4629
Cell_145,-0.8858,4.8773
Cell_146,0.7739,5.4167
Cell_147,0.0155,4.2382
Cell_148,1.0963,5.1888
Cell_149,0.4171,5.8578
Cell_150,-0.1108,7.296
Cell_151,4.6685,0.0491
Cell_152,4.5812,0.2544
Cell_153,5.3095,-0.2375
Cell_154,4.1788,-0.8034
Cell_155,4.7022,-0.088
Cell_156,5.9653,1.0613
Cell_157,5.0684,0.308
Cell_158,4.8468,-0.172
Cell_159,6.0259,0.2043
Cell_160,6.477,-0.1363
Cell_161,4.8276,0.4764
Cell_162,4.5758,-0.3731
Cell_163,4.0841,1.3952
Cell_164,4.7239,-0.4064
Cell_165,3.7459,1.1454
Cell_166,4.7154,0.065
Cell_167,4.5397,0.0834
Cell_168,4.1323,0.6518
Cell_169,4.9614,-0.6028
Cell_170,5.5873,0.3438
Cell_171,5.4018,1.3332
Cell_172,2.3785,-0.2094
Cell_173,4.6344,-0.6438
Cell_174,5.615,-0.3905
Cell_175,5.6654,-1.0056
Cell_176,5.6256,0.4448
Cell_177,4.463,-0.5517
Cell_178,5.8954,-0.2146
Cell_179,4.7251,0.8315
Cell_180,3.1515,-0.0028
Cell_181,6.7004,-0.4264
Cell_182,5.2542,-0.0872
Cell_183,5.0799,-0.5699
Cell_184,5.1398,-0.5484
Cell_185,5.8008,-0.5811
Cell_186,5.4484,-0.413
Cell_187,6.1878,-0.4887
Cell_188,4.604,1.1812
Cell_189,3.9277,-0.0678
Cell_190,4.2436,-0.9455
Cell_191,4.5784,0.1705
Cell_192,5.7869,-0.3283
Cell_193,6.6195,0.0535
Cell_194,3.5419,0.7265
Cell_195,5.0852,0.736
Cell_196,4.5151,-0.6521
Cell_197,5.6539,0.0063
Cell_198,4.3502,-0.3223
Cell_199,5.2664,0.3192
Cell_200,5.9718,0.3995
Cell_201,4.6181,0.8258
Cell_202,5.5688,-0.5008
Cell_203,4.16,-0.4374
Cell_204,4.5267,0.0872
Cell_205,5.5491,-0.1705
Cell_206,4.6097,0.3115
Cell_207,4.8426,-2.0539
Cell_208,5.5613,-0.386
Cell_209,4.1261,-0.5446
Cell_210,5.4163,0.9654
