cell_id,cell_type,cluster
Cell_1,T_cell,1
Cell_2,T_cell,1
Cell_3,T_cell,1
Cell_4,T_cell,1
Cell_5,T_cell,1
Cell_6,T_cell,1
Cell_7,T_cell,1
Cell_8,T_cell,1
Cell_9,T_cell,1
Cell_10,T_cell,1
Cell_11,T_cell,1
Cell_12,T_cell,1
Cell_13,T_cell,1
Cell_14,T_cell,1
Cell_15,T_cell,1
Cell_16,T_cell,1
Cell_17,T_cell,1
Cell_18,T_cell,1
Cell_19,T_cell,1
Cell_20,T_cell,1
Cell_21,T_cell,1
Cell_22,T_cell,1
Cell_23,T_cell,1
Cell_24,T_cell,1
Cell_25,T_cell,1
Cell_26,T_cell,1
Cell_27,T_cell,1
Cell_28,T_cell,1
Cell_29,T_cell,1
Cell_30,T_cell,1
Cell_31,T_cell,1
Cell_32,T_cell,1
Cell_33,T_cell,1
Cell_34,T_cell,1
Cell_35,T_cell,1
Cell_36,T_cell,1
Cell_37,T_cell,1
Cell_38,T_cell,1
Cell_39,T_cell,1
Cell_40,T_cell,1
Cell_41,T_cell,1
Cell_42,T_cell,1
Cell_43,T_cell,1
Cell_44,T_cell,1
Cell_45,T_cell,1
Cell_46,T_cell,1
Cell_47,T_cell,1
Cell_48,T_cell,1
Cell_49,T_cell,1
Cell_50,T_cell,1
Cell_51,T_cell,1
Cell_52,T_cell,1
Cell_53,T_cell,1
Cell_54,T_cell,1
Cell_55,T_cell,1
Cell_56,T_cell,1
Cell_57,T_cell,1
Cell_58,T_cell,1
Cell_59,T_cell,1
Cell_60,T_cell,1
Cell_61,T_cell,1
Cell_62,T_cell,1
Cell_63,T_cell,1
Cell_64,T_cell,1
Cell_65,T_cell,1
Cell_66,T_cell,1
Cell_67,T_cell,1
Cell_68,T_cell,1
Cell_69,T_cell,1
Cell_70,T_cell,1
Cell_71,T_cell,1
Cell_72,T_cell,1
Cell_73,T_cell,1
Cell_74,T_cell,1
Cell_75,T_cell,1
Cell_76,B_cell,2
Cell_77,B_cell,2
Cell_78,B_cell,2
Cell_79,B_cell,2
Cell_80,B_cell,2
Cell_81,B_cell,2
Cell_82,B_cell,2
Cell_83,B_cell,2
Cell_84,B_cell,2
Cell_85,B_cell,2
Cell_86,B_cell,2
Cell_87,B_cell,2
Cell_88,B_cell,2
Cell_89,B_cell,2
Cell_90,B_cell,2
Cell_91,B_cell,2
Cell_92,B_cell,2
Cell_93,B_cell,2
Cell_94,B_cell,2
Cell_95,B_cell,2
Cell_96,B_cell,2
Cell_97,B_cell,2
Cell_98,B_cell,2
Cell_99,B_cell,2
